municerca,date,tp,t2m,d2m,t2m_min,t2m_max,tp_anom,t2m_anom,d2m_anom,t2m_min_anom,t2m_max_anom
MUNICERCA 3,2021-07-17,0.0008523463038727641,9.89696770046084,-2.890674510338087,7.045938604038766,12.858443286228487,-0.9240717184936835,0.878847824870835,-3.80531729008449,2.623069409160293,-1.5744560193270671
MUNICERCA 3,2021-07-18,0.02822280302643776,8.000741177560002,-5.117729089526616,4.131010693537563,12.67473152699105,0.009905988792888822,-1.8920148606819147,-5.907245693721655,-1.0937600855422978,-3.4548250865072125
MUNICERCA 3,2021-07-19,0.0017106530722230673,7.284352944217253,-1.7760850998331121,1.6662249752027507,15.528956855569003,-0.07461084806256824,-2.593030340881352,-4.181279786351887,-3.6089628774448186,-0.41714977963065175
MUNICERCA 3,2021-07-20,0.0,10.388387036279447,-1.3680753392622993,5.092776286182358,18.51464721606913,-1.0958906607184973,-0.8061742438651371,-5.044230846826845,-1.9669581430711145,1.304374321103849
MUNICERCA 3,2021-07-21,0.0,13.194425283983211,1.1249163744576143,7.975650696807685,20.64527091766664,-1.010043121599463,0.7109101591324078,-4.976546503663656,-0.5060421471593289,2.615302655947889
MUNICERCA 3,2021-07-22,0.0,13.841915230738982,3.6296113718998257,9.16754634363093,20.89719079965911,-0.6821242503200968,0.8334172084475882,-3.8751428376186072,0.3069018123809311,2.488758453738972
MUNICERCA 3,2021-07-23,0.01115798857063055,15.625716686137856,7.3394148298000275,10.30902842326437,23.766901767997815,-2.2337229723731675,1.9115519734438995,-0.6118063130747957,0.628746169575135,3.9855588589266313
MUNICERCA 3,2021-07-24,0.0120162945240736,14.251730045299285,8.385406612611645,10.085702111228228,19.297487934748638,-10.442980631761667,0.5013271496897468,-0.4544156267343288,-0.04379482345059153,1.0334837572312805
MUNICERCA 3,2021-07-25,0.028844918033684705,12.745506018515973,6.443217327893681,9.134569762427251,16.528947006877363,-28.26811167402984,0.029535046666745706,-1.7039387146291731,0.32206094623801473,-0.6057040076625667
MUNICERCA 3,2021-07-26,0.003576949058779538,10.561555412713805,3.0100157868014934,5.909813248924674,15.71562966563102,-12.777130791699044,-1.654421387145136,-4.329158399057339,-2.2340269474728935,-1.1364278973030093
MUNICERCA 3,2021-07-27,0.000858306884765625,8.513169160409696,-5.604261542103064,3.5783945568186364,12.825853996104286,-20.06356395776901,-2.2467901664403493,-9.870739333571368,-3.3821746977386553,-2.0504277421769626
MUNICERCA 3,2021-07-28,0.0008523463038727641,6.895477172933241,-4.841681013672321,3.1260199344963295,10.775705237564695,-1.715478028278772,-3.2590612995602486,-6.722842568109453,-2.6379374494012398,-4.285683922591554
MUNICERCA 3,2021-07-29,0.01460537314414978,6.67347651852948,-3.481660825004522,1.262864812375858,14.308742518595063,-0.13387581379049354,-4.0757567803020365,-5.04026030234861,-4.812632285063378,-2.1828244573163955
MUNICERCA 3,2021-07-30,0.002998597687110305,9.323558736345506,-2.213306997596127,4.831461458189233,16.44166877352259,-0.015893738124416107,-2.964425603050652,-4.69773575171388,-3.224880772713546,-2.0072380190121324
MUNICERCA 3,2021-07-31,0.02831922471523285,10.546681300535106,-0.6844104685752475,4.781909748233151,16.948064695626268,-0.4722187506862813,-3.209290184178977,-6.79392549114448,-3.6238601085376843,-3.7237296023338007
MUNICERCA 3,2021-08-01,0.004334319848567247,10.05699821440526,1.8868929897131987,3.344391967170578,17.979636746423125,-0.14248493400712808,-5.860689625526652,-7.9583529650122795,-7.3289112554856715,-4.873229193247014
MUNICERCA 3,2021-08-02,0.0021517702843993902,11.524907635333914,2.012754502506402,5.814746390185306,19.198969853619513,-0.017130700478123293,-5.304643213732928,-7.360657944999126,-5.674781333339001,-3.794548890955143
MUNICERCA 3,2021-08-03,0.015004185028374195,12.560580493123437,2.6073579778348885,6.756994477537556,20.60015861458991,-13.953261719882075,-2.014597568467815,-2.4786536222248787,-3.8245573074016805,1.0314832131142129
