WKT;gid
"MULTILINESTRING ((-63.2605792718158 -32.4026422527338,-63.2601882447791 -32.4030970950116))";"243"
"MULTILINESTRING ((-63.2605100120091 -32.4069875082894,-63.2608265409642 -32.4071987662048))";"244"
"MULTILINESTRING ((-63.2600075226869 -32.4073909095056,-63.2608731131102 -32.4079423478317))";"245"
"MULTILINESTRING ((-63.2608745549674 -32.4042676890229,-63.2604596517114 -32.4047385425496))";"246"
"MULTILINESTRING ((-63.2597677073162 -32.4035671463929,-63.2608745549674 -32.4042676890229))";"247"
"MULTILINESTRING ((-63.2600368792452 -32.4052097716282,-63.2611356824403 -32.4059144763905))";"248"
"MULTILINESTRING ((-63.2611356824403 -32.4059144763905,-63.2603609512123 -32.4067921376972,-63.2603686819201 -32.4068963035187))";"249"
"MULTILINESTRING ((-63.2612860667746 -32.4038018007997,-63.2608745549674 -32.4042676890229))";"250"
"MULTILINESTRING ((-63.2601882447791 -32.4030970950116,-63.2612860667746 -32.4038018007997))";"251"
"MULTILINESTRING ((-63.2604596517114 -32.4047385425496,-63.2615549529567 -32.4054461365735))";"252"
"MULTILINESTRING ((-63.2615549529567 -32.4054461365735,-63.2611356824403 -32.4059144763905))";"253"
