id,paradas,linea,lon,lat
paradas_omnibus.323,,13,-63.2300304,-32.40264
paradas_omnibus.324,,13,-63.2270838,-32.4007535
paradas_omnibus.325,,13,-63.2397044,-32.3964816
paradas_omnibus.326,,13,-63.2415323,-32.3978158
paradas_omnibus.327,,13,-63.2394552,-32.4000334
paradas_omnibus.328,,13,-63.2421597,-32.3873098
paradas_omnibus.329,,13,-63.2412972,-32.3912204
paradas_omnibus.330,,13,-63.2461318,-32.410512
paradas_omnibus.331,,14,-63.2435043,-32.4135934
paradas_omnibus.332,,14,-63.2358493,-32.4110645
paradas_omnibus.333,,14,-63.2399153,-32.4135125
paradas_omnibus.334,,14,-63.2467766,-32.4096172
paradas_omnibus.335,,14,-63.2286319,-32.4065162
paradas_omnibus.336,,14,-63.2304987,-32.4076847
paradas_omnibus.337,,14,-63.2267974,-32.4053363
paradas_omnibus.338,,14,-63.224319,-32.4037874
paradas_omnibus.339,,14,-63.2220659,-32.4034431
paradas_omnibus.340,,14,-63.2190297,-32.4022928
paradas_omnibus.341,,14,-63.2210681,-32.4074787
paradas_omnibus.342,,14,-63.2216904,-32.4086291
paradas_omnibus.343,,14,-63.2183967,-32.4086381
paradas_omnibus.344,,14,-63.2154033,-32.4073247
paradas_omnibus.345,,14,-63.2139335,-32.4068447
paradas_omnibus.346,,14,-63.2120452,-32.4068628
paradas_omnibus.347,,14,-63.2118414,-32.4056852
paradas_omnibus.348,,14,-63.214663,-32.4043628
paradas_omnibus.349,,14,-63.2220612,-32.4065233
paradas_omnibus.350,,14,-63.2239172,-32.4039689
paradas_omnibus.351,,14,-63.2266746,-32.4050197
paradas_omnibus.352,,14,-63.2287989,-32.4062697
paradas_omnibus.353,,14,-63.2309983,-32.4077008
paradas_omnibus.354,,14,-63.2327578,-32.4088421
paradas_omnibus.355,,14,-63.2353113,-32.4104997
paradas_omnibus.356,,14,-63.2375214,-32.4096483
paradas_omnibus.357,,14,-63.2395711,-32.40732
paradas_omnibus.358,,14,-63.2426611,-32.4045572
paradas_omnibus.359,,14,-63.2447136,-32.4058456
paradas_omnibus.360,,14,-63.2468486,-32.4072315
paradas_omnibus.361,,14,-63.2329204,-32.4092439
paradas_omnibus.362,,14,-63.2377323,-32.4120925
paradas_omnibus.363,,14,-63.2175277,-32.4039189
paradas_omnibus.364,,15,-63.2430442,-32.4094543
paradas_omnibus.365,,15,-63.241219,-32.4082451
paradas_omnibus.366,,15,-63.237873,-32.411927
paradas_omnibus.367,,15,-63.2350097,-32.4133229
paradas_omnibus.368,,15,-63.2331361,-32.4121308
paradas_omnibus.369,,15,-63.2308562,-32.4113745
paradas_omnibus.370,,15,-63.2288151,-32.4136751
paradas_omnibus.371,,15,-63.2256528,-32.4172662
paradas_omnibus.372,,15,-63.2229653,-32.4166549
paradas_omnibus.373,,15,-63.2209429,-32.4154367
paradas_omnibus.374,,15,-63.2196071,-32.416784
paradas_omnibus.375,,15,-63.2162865,-32.4179523
paradas_omnibus.376,,15,-63.2133106,-32.4185081
paradas_omnibus.377,,15,-63.2100249,-32.4218762
paradas_omnibus.378,,15,-63.2077317,-32.421934
paradas_omnibus.379,,15,-63.2053069,-32.4227015
paradas_omnibus.380,,15,-63.2085564,-32.4227785
paradas_omnibus.381,,15,-63.2097513,-32.4220201
paradas_omnibus.382,,15,-63.2108832,-32.4186102
paradas_omnibus.383,,15,-63.2108805,-32.416261
paradas_omnibus.384,,15,-63.2109073,-32.4139888
paradas_omnibus.385,,15,-63.2120338,-32.413502
paradas_omnibus.386,,15,-63.2133159,-32.4155353
paradas_omnibus.387,,15,-63.2177885,-32.4172924
paradas_omnibus.388,,15,-63.220802,-32.4176626
paradas_omnibus.389,,15,-63.2223416,-32.4184313
paradas_omnibus.390,,15,-63.2239161,-32.416577
paradas_omnibus.391,,15,-63.2256863,-32.4146025
paradas_omnibus.392,,15,-63.2280789,-32.4118718
paradas_omnibus.393,,15,-63.2298839,-32.4098496
paradas_omnibus.394,,15,-63.2312988,-32.4082362
paradas_omnibus.395,,15,-63.2326869,-32.408919
paradas_omnibus.396,,15,-63.2360021,-32.4110294
paradas_omnibus.397,,15,-63.2374558,-32.4097069
paradas_omnibus.398,,15,-63.2394997,-32.4074425
paradas_omnibus.399,,15,-63.2432655,-32.4078727
paradas_omnibus.400,,15,-63.2462297,-32.4102521
paradas_omnibus.401,,15,-63.2395932,-32.4100233
paradas_omnibus.402,,15,-63.2273965,-32.4152647
