WKT;gid
"MULTILINESTRING ((-63.2688568256596 -32.4144040467929,-63.2686547047389 -32.4156856005234))";"169"
"MULTILINESTRING ((-63.2686106776334 -32.4143887910454,-63.268687931383 -32.4144248516157,-63.2688568256596 -32.4144040467929))";"170"
"MULTILINESTRING ((-63.2676492458736 -32.413494222178,-63.2689287692886 -32.4135706719691))";"171"
"MULTILINESTRING ((-63.2689287692886 -32.4135706719691,-63.2688568256596 -32.4144040467929))";"172"
"MULTILINESTRING ((-63.2689737913815 -32.4130514356657,-63.2689287692886 -32.4135706719691))";"173"
"MULTILINESTRING ((-63.2690177777547 -32.412541579767,-63.2689737913815 -32.4130514356657))";"174"
"MULTILINESTRING ((-63.2690177777547 -32.412541579767,-63.2697212161967 -32.4125818272945))";"175"
"MULTILINESTRING ((-63.2697212161967 -32.4125818272945,-63.2706286047446 -32.4126404797157))";"176"
"MULTILINESTRING ((-63.2689737913815 -32.4130514356657,-63.2712299335136 -32.4131945775659))";"177"
"MULTILINESTRING ((-63.2706286047446 -32.4126404797157,-63.2712682647183 -32.4126819376661))";"178"
"MULTILINESTRING ((-63.2625882058939 -32.4143695742751,-63.2626728514367 -32.4143716272519,-63.26357991699 -32.4149539939224))";"179"
"MULTILINESTRING ((-63.26357991699 -32.4149539939224,-63.262855441817 -32.4157668159596))";"180"
"MULTILINESTRING ((-63.262855441817 -32.4157668159596,-63.2638209475142 -32.4163887220801))";"181"
"MULTILINESTRING ((-63.2638209475142 -32.4163887220801,-63.2631041148843 -32.4172006276347))";"182"
"MULTILINESTRING ((-63.2639954229306 -32.4127447265051,-63.2633395004021 -32.4135083524365))";"183"
"MULTILINESTRING ((-63.2633395004021 -32.4135083524365,-63.2643206947369 -32.4141220162581))";"184"
"MULTILINESTRING ((-63.2643206947369 -32.4141220162581,-63.26357991699 -32.4149539939224))";"185"
"MULTILINESTRING ((-63.26357991699 -32.4149539939224,-63.2645531441915 -32.4155637948605))";"186"
"MULTILINESTRING ((-63.2645531441915 -32.4155637948605,-63.2638209475142 -32.4163887220801))";"187"
"MULTILINESTRING ((-63.2638209475142 -32.4163887220801,-63.2648008156968 -32.4170096887622))";"188"
"MULTILINESTRING ((-63.2639954229306 -32.4127447265051,-63.2650177714539 -32.4133882203865))";"189"
"MULTILINESTRING ((-63.2650177714539 -32.4133882203865,-63.2649375964806 -32.4134126082685,-63.2643206947369 -32.4141220162581))";"190"
"MULTILINESTRING ((-63.2643206947369 -32.4141220162581,-63.2652786045917 -32.4147301304818))";"191"
"MULTILINESTRING ((-63.2652786045917 -32.4147301304818,-63.2645531441915 -32.4155637948605))";"192"
"MULTILINESTRING ((-63.2653223685624 -32.4123200813322,-63.2652521385352 -32.4130602265168,-63.2650177714539 -32.4133882203865))";"193"
"MULTILINESTRING ((-63.265533653642 -32.4161872795029,-63.2648008156968 -32.4170096887622))";"194"
"MULTILINESTRING ((-63.2645531441915 -32.4155637948605,-63.265533653642 -32.4161872795029))";"195"
"MULTILINESTRING ((-63.2650177443381 -32.4133882583346,-63.2650177714539 -32.4133882203865,-63.2659414082873 -32.4139695561313))";"196"
"MULTILINESTRING ((-63.2659414082873 -32.4139695561313,-63.2652786045917 -32.4147301304818))";"197"
"MULTILINESTRING ((-63.2652786045917 -32.4147301304818,-63.2662683629985 -32.415355032837))";"198"
"MULTILINESTRING ((-63.2662683629985 -32.415355032837,-63.265533653642 -32.4161872795029))";"199"
"MULTILINESTRING ((-63.2650177714539 -32.4133882203865,-63.2651461249684 -32.4133376487488,-63.266434158213 -32.4134217712315))";"200"
"MULTILINESTRING ((-63.266434158213 -32.4134217712315,-63.2659414082873 -32.4139695561313))";"201"
"MULTILINESTRING ((-63.265533653642 -32.4161872795029,-63.2664872339804 -32.4167951228426))";"202"
"MULTILINESTRING ((-63.2664872339804 -32.4167951228426,-63.2657574952976 -32.4176217692652))";"203"
"MULTILINESTRING ((-63.2665221286422 -32.4123916007675,-63.266434158213 -32.4134217712315))";"204"
"MULTILINESTRING ((-63.2659414082873 -32.4139695561313,-63.2669249192724 -32.4145939154886))";"205"
"MULTILINESTRING ((-63.2648008156968 -32.4170096887622,-63.2657574952976 -32.4176217692652))";"206"
"MULTILINESTRING ((-63.2648008156968 -32.4170096887622,-63.2640763181526 -32.4178166562158))";"207"
"MULTILINESTRING ((-63.2631041148843 -32.4172006276347,-63.2640763181526 -32.4178166562158))";"208"
"MULTILINESTRING ((-63.2657574952976 -32.4176217692652,-63.2654055254173 -32.4180308254511))";"209"
"MULTILINESTRING ((-63.2657574952976 -32.4176217692652,-63.2667566499676 -32.4182486314287))";"210"
"MULTILINESTRING ((-63.2640763181526 -32.4178166562158,-63.26504791203 -32.4184379086499))";"211"
"MULTILINESTRING ((-63.2654055254173 -32.4180308254511,-63.26504791203 -32.4184379086499))";"212"
"MULTILINESTRING ((-63.2640763181526 -32.4178166562158,-63.2633175062574 -32.4186691045176))";"213"
"MULTILINESTRING ((-63.2628895337863 -32.4183582066392,-63.2632877902947 -32.4185983130142,-63.2633175062574 -32.4186691045176))";"214"
"MULTILINESTRING ((-63.2654055254173 -32.4180308254511,-63.2665966954893 -32.4187702740063))";"215"
"MULTILINESTRING ((-63.26504791203 -32.4184379086499,-63.2660128117084 -32.4190558311322))";"216"
"MULTILINESTRING ((-63.26504791203 -32.4184379086499,-63.2642796384574 -32.4192932759699))";"217"
"MULTILINESTRING ((-63.2660128117084 -32.4190558311322,-63.2662961411843 -32.4192396100506))";"218"
"MULTILINESTRING ((-63.2660128117084 -32.4190558311322,-63.2652740007715 -32.4198779849135))";"219"
"MULTILINESTRING ((-63.2642796384574 -32.4192932759699,-63.2643639128981 -32.4193053063163,-63.2652740007715 -32.4198779849135))";"220"
